sample_id,raw,reference
1,3.792,4.39
2,5.154,5.82
3,6.914,7.793
4,8.164,8.923
5,9.19,9.901
6,10.456,11.127
7,11.777,12.575
8,12.533,13.412
9,14.435,15.219
10,15.185,15.914
11,16.886,17.696
12,17.762,18.594
13,18.843,19.714
14,20.205,20.864
15,21.602,22.467
16,22.707,23.743
17,24.298,24.974
18,25.416,26.366
19,26.424,27.276
20,28.283,29.115
21,29.047,29.725
22,30.536,31.351
23,31.779,32.543
24,33.02,33.726
25,34.271,35.108
26,35.345,36.159
27,36.487,37.377
28,37.589,38.613
29,38.805,39.835
30,40.587,41.281
31,41.477,42.135
32,43.095,44.058
33,44.408,45.146
34,45.867,46.817
35,46.87,47.632
36,48.392,49.24
