sample_id,raw,reference
1,4.142,2.312
2,5.261,3.355
3,6.304,4.694
4,7.451,5.748
5,8.896,7.133
6,9.567,8.046
7,10.759,9.127
8,12.114,10.613
9,12.745,11.108
10,14.534,13.121
11,14.887,13.568
12,16.378,14.956
13,17.32,15.882
14,18.42,17.373
15,19.798,18.422
16,21.13,19.959
17,21.775,20.468
18,22.809,21.736
19,24.198,23.071
20,25.114,24.056
21,26.514,25.568
22,27.647,26.509
23,28.844,27.975
24,29.953,29.184
25,31.157,30.386
26,32.085,31.029
27,33.421,32.59
28,34.537,34.028
29,35.657,34.879
30,36.413,35.652
31,37.601,36.905
32,38.669,38.189
33,40.15,39.575
34,41.449,41.005
35,42.08,41.458
36,43.439,42.95
37,45.013,44.618
38,45.899,45.483
39,46.657,46.325
40,47.89,47.628
